latitude,longitude,MapLabel,Status,MillType,Products,Feedstock,Species,CIty,State,RecordEditor,Zip,Cogen_Status,OldName,MapIcon
39.17958875,-123.2036368,Agwood Mill & Lbr.,Open,sawmill,Redwood lumber and dimension lumber.,logs,"DF, redwood", Ukiah,CA,Larry Swan,97503,cogen,,grn_circle
38.46454832,-123.0410353,Berry's Sawmill,Open,,,,, Cazadero,CA,Larry Swan,96013,cogen,,grn_circle
37.090154,-122.273326,Big Creek Lbr. Co. Sawmill,Open,,,,, Davenport,CA,Larry Swan,96020,cogen,,grn_circle
40.30330794,-121.2413703,Collins Pine Co. Sawmill,Open,,,,, Chester,CA,Larry Swan,95565,cogen,Scotia Power,grn_circle
40.80577621,-124.1958033,Evergreen Pulp,Closed,,,,,,,Larry Swan,96007,cogen,Wheelabrator Hudson,grn_circle
41.75348006,-124.1753922,Hambro Forest Products Particle Bd.,Closed,composite panel,particle board,,, Crescent City,CA,Larry Swan,96094,cogen,,grn_circle
39.65411548,-123.6269559,Harwood Products Sawmill,Liquidated,,,,,,,Larry Swan,93270,cogen,Terra Bella,grn_circle
40.899619,-124.075427,Humboldt Flakeboard Particle Bd.,Liquidated,composite panel,particle board,,, Arcata,CA,Larry Swan,96013,cogen,,grn_circle
41.433163,-122.37823,JH Baxter Wood Preservation,Other Type,,,,,,,Larry Swan,96007,cogen,,grn_circle
40.885948,-124.081698,Mad River Lbr. Sawmill,Open,,,,, Arcata,CA,Larry Swan,96007,cogen,,red_circle
39.183738,-123.203868,Mendocino Forest Products Sawmill,Open,,,,, Ukiah,CA,Larry Swan,95648,cogen,,grn_circle
40.483615,-124.102748,Humboldt Redwood Co. Sawmill,Open,,,,,,,Larry Swan,95971,cogen,,grn_circle
40.901169,-124.071143,Arcata Forest Products Sawmill,Open,,,,,,,Larry Swan,95373,cogen,,grn_circle
39.066464,-123.442657,Redwood Empire Philo Sawmill,Closed,,,,, Philo,CA,Larry Swan,,cogen,Evergreen pulp,wht_circle
38.820891,-123.018623,Redwood Empire Cloverdale Sawmill,Open,,,,, Cloverdale,CA,Larry Swan,95206,cogen,,ylw_circle
41.43245271,-122.3794955,Roseburg Forest Products Veneer Mill,Open,,,,, Weed,CA,Larry Swan,95201,cogen,,grn_circle
40.79719014,-124.1815646,Schmidbauer Lbr. Co. Sawmill,Open,,,,, Eureka,CA,Larry Swan,93308,cogen,,grn_circle
40.8782226,-121.7266623,Shasta Green Sawmill,Open,,,,, Burney,CA,Larry Swan,,cogen,,purple_circle
39.10472026,-121.5615753,Sierra Cedar Products Sawmill,Liquidated,,,,,,,Larry Swan,,cogen,,purple_circle
35.95409644,-119.0489178,Sierra Forest Products Sawmill,Open,,,,, Terra Bella,CA,Larry Swan,96027,cogen,,orange_circle
40.471498,-122.320991,SPI Anderson Sawmill,Open,,,,, Anderson,CA,Larry Swan,95776,cogen,,grn_circle
40.865848,-124.152849,SPI Arcata Sawmill,Open,,,,, Arcata,CA,Larry Swan,95361,cogen,,grn_circle
40.876365,-121.701786,SPI Burney Sawmill,Open,,,,, Burney,CA,Larry Swan,,cogen,,wht_circle
38.738874,-120.681931,SPI Camino Sawmill,Closed,,,,, Camino,CA,Larry Swan,,cogen,,red_circle
40.675837,-122.380149,SPI Shasta Lk. Sawmill,Open,,,,, Shasta Lake,CA,Larry Swan,96009,not cogen,,ylw_circle
38.90448023,-121.3070281,SPI Lincoln Sawmill,Open,,,,, Lincoln,CA,Larry Swan,95525,not cogen,,grn_circle
39.48193681,-121.5632263,SPI Oroville Cedar Sawmill,Open,,,,, Oroville,CA,Larry Swan,95525,not cogen,,red_circle
39.93866858,-120.9112616,SPI Quincy Sawmill,Open,,,,, Quincy,CA,Larry Swan,96013,not cogen,Covanta,ylw_circle
37.88282739,-120.4536966,SPI Chinese Camp Sawmill,Open,,,,, Chinese Camp,CA,Larry Swan,93610,not cogen,,grn_circle
37.96333505,-120.3174788,SPI Sonora Standard Sawmill,Open,,,,, Sonora,CA,Larry Swan,93215,not cogen,Covanta,grn_circle
38.379883,-120.798731,SierraPine Martell Particle Bd.,Open,,,,, Sutter Creek,CA,Larry Swan,92254,not cogen,Colmac,grn_circle
38.801777,-121.218444,SierraPine Rocklin MDF,Liquidated,,,,, Rocklin,CA,Larry Swan,95564,not cogen,,grn_circle
40.87184621,-123.9632726,"Calif. Redwood Co., Korbel Sawmill",Open,,,,,,,Larry Swan,95201,not cogen,,wht_circle
41.29238545,-124.0517323,"Calif. Redwood Co., Orick Sawmill",Liquidated,,,,,,,Larry Swan,,not cogen,,grn_circle
40.484703,-122.345292,Sound Stud Sawmill,Closed,,,,,,,Larry Swan,96136,not cogen,,grn_circle
41.73064723,-122.5929565,Timber Products Veneer Mill,Open,veneer,,,, Yreka,CA,Larry Swan,92251,not cogen,,ylw_circle
40.72493045,-122.9306377,Trinity River Lbr Co. Sawmill,Open,,,,, Weaverville,CA,Larry Swan,93622,not cogen,,ylw_circle
39.403232,-123.358427,Willits Redwood Sawmill,Open,,,,, Willits,CA,Larry Swan,93640,not cogen,Covanta,grn_circle
37.83896858,-120.5037001,California Wood Shavings,Open,,,,,,,Larry Swan,95317,not cogen,El Nido,grn_circle
33.925539,-116.968097,Priority Pallets Sawmill,Open,,,,,,,Larry Swan,92227,not cogen,,wht_circle
37.83790896,-120.5063675,SPI Keystone Bark Plant,Open,,,,,,,Larry Swan,96137,not cogen,Covanta,ylw_circle
40.12963114,-122.1878034,Lassen Forest Products,Open,,,,,,,Larry Swan,95965,not cogen,Covanta,ylw_circle
42.20383551,-120.3526727,Collins Fremont Sawmill,Open,,,,,,,Larry Swan,95327,not cogen,Covanta,grn_circle
42.17236992,-121.8265397,Collins Particle Bd.,Open,,,,,,,Larry Swan,93725,not cogen,,grn_circle
42.17071695,-121.8186025,Collins Hardboard,Open,,,,,,,Larry Swan,95648,not cogen,,grn_circle
42.1796987,-121.8005483,Columbia Forest Products Plywood,Open,,,,,,,Larry Swan,93602,not cogen,Auberry,wht_circle
42.43270557,-122.8592083,Murphy Plywood,Open,,,,,,,Larry Swan,93960,not cogen,,wht_circle
42.10528814,-123.6787754,Rough & Ready Lbr. Co.,Closed,,,,,,,Larry Swan,96118,not cogen,,ylw_circle
38.68025217,-120.8446384,El Dorado Northern Sawmill,Open,,,,,,,Larry Swan,96130,not cogen,,wht_circle
38.80935591,-121.3173498,Mallard Creek Shavings/Pellets,Open,,,,,,,Larry Swan,95377,not cogen,,grn_circle
39.08601607,-121.570966,American Wood Fiber,Open,,,,, Olivehurst,CA,Larry Swan,95350,not cogen,,wht_circle
42.25647449,-121.8046141,Jeld-Wen Thomas Lbr. Sawmill,Open,,,,,,,Larry Swan,95987,not cogen,,grn_circle
42.25325412,-121.8060077,Jeld-Wen MDF,Open,,,,,,,Larry Swan,96007,not cogen,,grn_circle
42.04369796,-121.8719792,Southern Oregon Post & Pole,Open,,,,,,,Larry Swan,95776,not cogen,,grn_circle
42.430189,-122.852102,Boise Wood Products Veneer/LVL/Plywood,Open,,,,,,,Larry Swan,95640,not cogen,,grn_circle
42.346976,-122.889142,Sierra Pine MDF & Particle Bd.,Open,,,,,,,Larry Swan,95348,not cogen,,grn_circle
42.435871,-122.866862,Timber Products Co. Particle Board and Plywood Mills,Open,,,,,,,Larry Swan,95776,not cogen,,orange_circle
42.052701,-124.290912,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimention & Stud Sawmills,Open,,,,,,,Larry Swan,93643,N/A,,red_circle
42.433787,-122.858651,Murphy Co. Veneer,Open,,,,,,,Larry Swan,97523,N/A,,ylw_circle
42.424954,-123.162117,Murphy Plywood Layup,Open,,,,,,,Larry Swan,95255,N/A,,purple_circle
41.737758,-122.593349,Fruit Growers Supply Company,Proposed,,,,,,,Larry Swan,97601,N/A,,grn_circle
39.587495,-122.540479,Commander Lumber Co.,Unknown,,,,,,,Larry Swan,96101,N/A,,purple_circle
39.885429,-122.541257,Crane Mills,Unknown,,,,,,,Larry Swan,95971,N/A,,purple_circle
39.8174833,-123.20695,Covelo Old LP Mill,Unknown,,,,,,,Peter Tittmann,,N/A,,grn_circle
39.380906,-123.106023,Potter Valley Old LP Mill,Unknown,,,,,,,Larry Swan,96052,N/A,,purple_circle
