Name,Status,MapLabel,asdfghj,Project_Type,Cogen_Status,County,City,State,Zip,RecID,OldName,latitude,longitude
Blue Lake Rancheria,Active development,Blue Lake Rancheria,0.8,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,59,,40.886347,-124.000079
North Fork BioMAT Project,Active development,North Fork BioMAT Project,2,Biomass solid fuel,Unknown,Madera County,North Fork,CA,93643,60,,37.231861,-119.494599
Wilseyville BioMAT Project,Active development,Wilseyville BioMAT Project,3,Biomass solid fuel,Unknown,Calaveras County,West Point,CA,95255,61,,38.37751,-120.523977
Placer County,Active development,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Cabin Creek,CA,96161,30,,39.290828,-120.214074
Quincy Proposed Project,Proposal,Quincy Project,3,Thermal,Unknown,Plumas County,Quincy,CA,95971,62,,39.936666,-120.946199
Iberdrola Lakeview Project,Active development,Iberdrola Lakeview Project,26,Unknown,Unknown,Lake County,Lakeview,OR,97630,53,,42.197586,-120.354345
Red Rock Biofuels LLC,Active Development,Red Rock Biofuels,17.5,Unknown,Unknown,,Lakeview,OR,,135,,42.163105,-120.349209
Central Valley Ag Grinding,Active Development,Central Valley Ag Grinding,1,Gasification,cogen,Stanislaus County,Oakdale,CA,95361,58,,37.718988,-120.895545
Valley Bio-Energy,Cancelled,Valley Bio-Energy,33,Biomass solid fuel,not cogen,Stanislaus County,Modesto,CA,95350,101,,37.6383,-120.999589
Placer County,Cancelled,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Kings Beach,CA,96143,107,,39.245133,-120.027133
Iberdrola Klamath Falls Project,Cancelled,Iberdrola Klamath Falls Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,54,,42.176324,-121.809231
Klamath Falls Bioenergy Project,Cancelled,Klamath Falls Bioenergy Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,55,,42.174472,-121.822306
HFI BioPower,Cancelled,HFI BioPower,20,Unknown,Unknown,Deschutes County,La Pine,OR,97739,116,,43.668663,-121.486519
Ortigalita Power Co.,Cancelled,Ortigalita Power,1,Unknown,Unknown,Merced,Los Banos,CA,,123,,36.979552,-120.870087
Rialto Renewable Energy Center,Cancelled,Rialto Renewable Energy Center,40,Unknown,Unknown,San Bernardino,Bloomington,CA,,124,,34.052028,-117.359847
Colton Renewable Energy Center,Cancelled,Colton Renewable Energy Center,49.9,Unknown,Unknown,San Bernardino,Colton,CA,92324,125,,34.06079,-117.345883
Big Valley Biomass Power/BVP Property,Idle,Big Valley Biomass Power,,Biomass solid fuel,not cogen,Lassen County,Bieber,CA,96009,2,,41.132744,-121.137368
Blue Lake Power,Idle,Renewable Energy Providers Blue Lake Power,11,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,3,,40.877693,-123.994609
Burney Mountain Power,Idle,Covanta Burney Mtn. Power,11,Biomass solid fuel,not cogen,Shasta County,Burney,CA,96013,6,Covanta,40.909703,-121.639961
"Delano Energy Co, Inc",Idle,Covanata Delano Power,58,Biomass solid fuel,not cogen,Kern County,Delano,CA,93215,11,Covanta,35.719097,-119.234588
DG Fairhaven,Idle,Korea East West Fairhaven Power,19.8,Biomass solid fuel,not cogen,Humboldt County,Samoa,CA,95564,12,,40.79946,-124.20309
Imperial Valley Resource Recovery Project,Idle,Imperial Valley Resource Recovery Power,,Biomass solid fuel,not cogen,Imperial County,El Centro,CA,92251,19,,32.906602,-115.51372
Shasta Renewable,Idle,Shasta Renewable,7.2,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,20,"Wheelabrator Hudson, Kiara Solar",40.473227,-122.328937
Madera Power LLC,Idle,Madera Power,33,Biomass solid fuel,not cogen,Fresno County,Firebaugh,CA,93622,21,Yankee Energy,36.861479,-120.338865
Mendota Biomass Power Ltd.,Idle,Covanta Mendota Power,25,Biomass solid fuel,not cogen,Fresno County,Mendota,CA,93640,22,Covanta,36.755903,-120.365273
Mt. Lassen Power,Idle,Covanta Mt. Lassen Power,12,Biomass solid fuel,not cogen,Lassen County,Westwood,CA,96137,26,Covanta,40.296983,-121.018053
Pacific Oroville Power Inc.,Idle,Covanta Pacific Oroville Power,18,Biomass solid fuel,not cogen,Butte County,Oroville,CA,95965,27,Covanta,39.480996,-121.565567
Eel River,Operational,Eel River Power,32.5,Biomass solid fuel,cogen,Humboldt County,Scotia,CA,95565,36,"Scotia Power, PALCO",40.481337,-124.104634
Sierra Power Corp.,Idle,Sierra Biomass Power Corp.,9.5,Biomass solid fuel,cogen,Tulare County,Terra Bella,CA,93270,38,Terra Bella,35.953929,-119.046308
SPI Loyalton,Idle,SPI Loyalton Biomass Power,20,Biomass solid fuel,not cogen,Sierra County,Loyalton,CA,96118,44,,39.669937,-120.239409
Tracy Biomass Plant,Idle,Greenleaf Tracy Biomass Power,23,Biomass solid fuel,not cogen,San Joaquin County,Tracy,CA,95377,48,,37.719987,-121.488451
Air Products Stockton,Idle,Air Products Stockton Biomass Power,60,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,San Joaquin County,Stockton,CA,95206,1,,37.912473,-121.261706
Ortigalita Power Co.,Idle,Ortigalita Phoenix,,Gasification,not cogen,Merced County,Merced,CA,95348,29,,37.335114,-120.528724
West Biofuels,Idle,West Biofuels Gasifier Pilot,,Gasification,not cogen,Yolo County,Woodland,CA,95776,50,,38.721719,-121.7544
Diamond Walnut,Non-operational,Diamond Walnut Biomass Power,4.5,Biomass solid fuel,not cogen,San Joaquin County,Stockton,CA,95201,13,,37.950083,-121.254484
Mesquite Lake Resource Recovery,Non-operational,Mesquite Lake Resource Recovery Power,18.5,Biomass solid fuel,not cogen,Imperial County,El Centro,CA,92227,24,Formerly Chateau,32.90381,-115.512373
Sierra Biomass (Auberry),Non-operational,Sierra Biomass Power,15,Biomass solid fuel,not cogen,Fresno County,Auberry,CA,93602,37,Auberry,37.065354,-119.491147
Soledad Energy,Non-operational,Soledad Energy,,Biomass solid fuel,not cogen,Monterey County,Soledad,CA,93960,39,,36.416976,-121.315617
SPI Anderson I,Closed,SPI Anderson I,4,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,41,,40.472715,-122.323162
Susanville,Non-operational,Susanville Biomass Power Project,12.5,Biomass solid fuel,not cogen,Lassen County,Susanville,CA,96130,47,SPI Susanville,40.408256,-120.644821
Freshwater Pulp,Non-operational,Freshwater Pulp Biomass Power,50,Chemical recovery,cogen,Humboldt County,Samoa,CA,95564,17,"Evergreen pulp, LP",40.805519,-124.195843
AES Delano,Non-Operational,AES Delano,50,Unknown,Unknown,Kern County,Delano,CA,93250,108,,35.721901,-119.233356
Liberty V Biofuels,Non-Operational,Amended and Restated Liberty V Biofuels,4.5,Unknown,Unknown,Kern County,Lost Hills,CA,,109,,35.679797,-119.796498
Bull Moose Energy Otay Mesa Biomass Facility,Non-Operational,Bull Moose,20,Unknown,Unknown,San Diego County,San Diego,CA,,110,,32.566906,-116.941888
Envirepel Fallbrook,Non-Operational,Envirepel Fallbrook,40,Unknown,Unknown,San Diego County,Fallbrook,CA,92028,112,,33.333935,-117.145164
Envirepel Ramona,Non-Operational,Envirepel Ramona,5,Unknown,Unknown,San Diego County,Ramona,CA,92065,114,,33.085519,-116.863258
Envirepel Vista,Non-Operational,KittyHawk,2,Unknown,Unknown,San Diego County,Vista,CA,92081,115,,33.147989,-117.235388
Imperial Valley Biopower,Non-Operational,Imperial Valley Biopower,20,Unknown,Unknown,Imperial County,Brawley,CA,92227,117,,32.903407,-115.534379
Liberty 1 Biofuels Power,Non-Operational,Liberty 1 Biofuels Power,5,Unknown,Unknown,Imperial County,El Centro,CA,92251,118,,32.912743,-115.510335
Wheelabrator No.4,Non-Operational,Wheelabrator No.4,3,Unknown,Unknown,Shasta County,Cottonwood,CA,96007,121,,40.428435,-122.2769
Sonoma Green Energy,Non-Operational,Sonoma Green Energy,1,Unknown,Unknown,Sonoma,Petaluma,CA,,126,,38.301876,-122.754976
Burney Forest Power,Operational,Burney Forest Power,31,Biomass solid fuel,cogen,Shasta County,Burney,CA,96013,5,,40.879724,-121.720406
Chowchilla,Operational,Chowchilla Biomass Power,12.5,Biomass solid fuel,not cogen,Madera County,Chowchilla,CA,93610,8,,37.107146,-120.248871
Collins Pine Co. Project,Operational,Collins Pine Biomass Power,12,Biomass solid fuel,cogen,Plumas County,Chester,CA,96020,9,,40.302842,-121.244088
Desert View,Operational,Greenleaf Desert View Power,47,Biomass solid fuel,not cogen,Riverside County,Mecca,CA,92254,10,Colmac,33.586491,-116.087907
"Dinuba Energy, Inc",Idle,Dinuba Energy,12,Biomass solid fuel,not cogen,Tulare County,Dinuba,CA,93654,14,,36.569581,-119.418984
Honey Lake Power,Operational,Greenleaf Honey Lake Power,35.5,Biomass solid fuel,not cogen,Lassen County,Wendel,CA,96136,18,,40.368492,-120.264999
Merced Power (El Nido),Operational,Merced Power,12.5,Biomass solid fuel,not cogen,Merced County,El Nido,CA,95317,23,El Nido,37.186982,-120.490162
Pacific Ultrapower Chinese Station,Operational,Pacific Ultrapower Chinese Station Power,22,Biomass solid fuel,not cogen,Tuolumne County,Jamestown,CA,95327,28,,37.874644,-120.477546
Rio Bravo Fresno,Operational,Rio Bravo Fresno Biomass Power,25,Biomass solid fuel,not cogen,Fresno County,Fresno,CA,93725,31,,36.688823,-119.723405
Rio Bravo Rocklin,Operational,Rio Bravo Rocklin Biomass Power,25,Biomass solid fuel,not cogen,Placer County,Rocklin,CA,95648,34,,38.831829,-121.313601
Roseburg Forest Products,Operational,Roseburg Forest Products Biomass Power,,Biomass solid fuel,cogen,Siskiyou County,Weed,CA,96094,35,,41.434612,-122.377895
SPI Burney,Operational,SPI Burney Biomass Power,20,Biomass solid fuel,cogen,Shasta County,Burney,CA,96013,40,,40.876759,-121.701845
SPI Anderson II,Operational,SPI Anderson Biomass Power II,30.15,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,42,,40.47185,-122.324034
SPI Lincoln,Operational,SPI Lincoln Biomass Power,19.2,Biomass solid fuel,cogen,Placer County,Lincoln,CA,95648,43,,38.902678,-121.309604
SPI Quincy,Operational,SPI Quincy Biomass Power,27.5,Biomass solid fuel,cogen,Plumas County,Quincy,CA,95971,45,,39.940962,-120.909161
SPI Sonora,Operational,SPI Sonora Standard Biomass Power,7.5,Biomass solid fuel,cogen,Tuolumne County,Sonora,CA,95373,46,,37.965999,-120.318
Wadham,Operational,Wadham Biomass Power,,Biomass solid fuel,not cogen,Colusa County,Williams,CA,95987,49,,39.105574,-122.110131
Wheelabrator Shasta,Operational,Wheelabrator Shasta Biomass Energy,58,Biomass solid fuel,not cogen,Shasta County,Anderson,CA,96007,51,,40.429592,-122.278243
Woodland Biomass Power Ltd.,Operational,DTE Woodland Biomass Power,,Biomass solid fuel,not cogen,Yolo County,Woodland,CA,95776,52,,38.691304,-121.737132
Biomass One LP,Operational,Biomass One LP,,Biomass solid fuel,cogen,Jackson County,White City,OR,97503,56,,42.436149,-122.849501
Rough & Ready Power,Idle,Rough & Ready Power,,Biomass solid fuel,cogen,Josephine County,Cave Junction,OR,97523,57,,42.106133,-123.677315
Buena Vista Biomass Power,Idle,Buena Vista Biomass Power,18.5,"Co-fire or conversion (from coal, petcoke or TDF)",not cogen,Amador County,Ione,CA,95640,4,,38.27792,-120.913763
DTE Stockton (POSDEF),Operational,DTE Stockton Biomass Power,50,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,San Joaquin County,Stockton,CA,95201,16,,37.943945,-121.330053
Mt. Poso Cogeneration,Operational,DTE Mt. Poso Cogen,,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93308,25,,35.576448,-119.005818
Cal Forest Nursery,Operational,Cal Forest Nursery Gasifier,0.07,Gasification,cogen,Siskiyou County,Etna,CA,96027,7,,41.475178,-122.829037
Dixon Ridge Farms,Operational,Dixon Ridge Farms Gasifier Power Pilot,,Gasification,cogen,Yolo County,Winters,CA,95776,15,,38.524353,-121.903077
Timber Products,Operational,Timber Products Veneer (Yreka),,Thermal,Unknown,Siskiyou County,Yreka,CA,96097,103,,41.731738,-122.589835
Columbia Plywood,Operational,Columbia Plywood,,Thermal,Unknown,Klamath County,Klamath Falls,OR,97601,104,,42.179712,-121.798302
American Wood Shavings,Operational,American Wood Shavings Biomass Dryer,,Thermal,,,Jamestown,CA,95327,136,,37.838344,-120.5064
Collins Pine Co. Project,Operational,Collins Pine Biomass (Klamath Falls),,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,102,,42.16992,-121.818424
Rio Bravo Jasmin,Proposal,Rio Bravo Jasmin Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93215,32,,35.741508,-119.050911
Rio Bravo Poso,Proposal,Rio Bravo Poso Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93308,33,,35.547497,-119.075265
Devils Garden Conservation Camp Proposed Project,Proposal,Devils Garden Conservation Camp Proposed Project,,Thermal,Unknown,Modoc County,Alturas,CA,96101,63,,41.523309,-120.66971
Trinity Conservation Camp Proposed Project,Proposal,Trinity River Conservation Camp Proposed Project,,Thermal,Unknown,Trinity County,Lewiston,CA,96052,64,,40.78939,-122.802506
California Ethanol & Power LLC,Proposal,California Ethanol & Power LLC,49.9,Unknown,Unknown,Imperial County,Brawley,CA,92227,105,,32.91631,-115.522232
Trinity River Lbr.,Proposal,Trinity River Lbr.,5,Unknown,Unknown,Trinity County,Weaverville,CA,96093,106,,40.72493,-122.930638
Hat Creek BioMAT Project,Active,Hat Creek BioMAT Project,,Unknown,,,,,,137,,40.83214935,-121.5149496
Nevada County BioMAT Project,Active,Nevada County BioMAT Project,,Unknown,,,,,,138,,39.26364317,-121.0133516
Camptonville BioMAT Project,Active,Camptonville BioMAT Project,,Unknown,,,,,,139,,39.45226864,-121.0484632
Mariposa BioMAT Project,Proposal,Mariposa BioMAT Project,,Unknown,,,,,,140,,37.48496616,-119.9662997
Mooretown Rancheria BioMAT Project,Active,Mooretown Rancheria BioMAT Project,,Unknown,,,,,,141,,39.46624093,-121.5218733
Round Valley BioMAT Project,Proposal,Round Valley BioMAT Project,,Unknown,,,,,,142,,39.80247641,-123.2495589
Branscomb BioMAT Project,Proposal,Branscomb BioMAT Project,,Unknown,,,,,,143,,39.65483903,-123.6251896
Crescent Mill BioMAT Project,Active,Crescent Mill BioMAT Project,,Unknown,,,,,,144,,40.09576776,-120.9081135
